,text,sentiment
409, nope i have a fifth generation ipod classic  it likes to be dumb,0
410, meetings are overrated,0
411, i love the smell of procrastination in the morning oder so,2
412, i considered being a nurse when i was younger but i really dont think i could cope if a baby died,0
413, i know  i am definitely going to try and see up this weekend,2
414, nice i will be there,2
415,oh no i must be gettin old my mom use to watch this showi miss her,0
416, lol that just totally made me laugh which made my day,2
417,tonight was fun,2
418, this creepy guy when i was walking the dog  ive had my fill of creepers for the day,1
419,good morning  just took the longest shower ive ever taken in my life like 45 to 50 min shower woah lol,2
420,is on facebook,1
421,i get to drive my dad to the airport so he can fly to vegas for the wsop i wanna go to vegas,1
422,franco made breakfast for mom here hes trying to cut the strawberries only safe knife  fb httptwitpiccom4wsmw,1
423, httptwitpiccom4w9h2 better in person had to send u this i feel like mouse from the american tail  over in ri,1
424,allergies  sun is out wearing shorts  stuck with my advisory the whole day this should be boring except fun if people make it fun,0
425, thank you you should know that i am both happy and sad all at the same time to know that youve got the right stuff,1
426,merchant i agree but teenage daughter will be spending my money on the movie of their concert this week,1
427,someone out there will soon  be the lucky recipient of my 5000th tweet oh wait  this was it,1
428,good  morning just went to bed it feels and already morninggoes fast now i am going to the gym soon have a nice day,2
429, one of our governors is one of the directors of the company,1
430,no internet for a week or longer,0
431,jesus christ meadowhall could do with better air con too hot,0
432,is listening to pnk tunage and trying to teach my cat to dance to it i think shes getting it we can be backing dancers by next tour,1
433, i sure she can,2
434,getting ready for work and the sun is shining plus its the we bgt tonight what am i gonna do after its finished,1
435,this aztec mask is harder then i thought but u kno what i think i did a pretty good job for not being an artist,1
436,listenin to some old school new found glory hedro gimi a high school band i can down load besides home grown,1
437,kelly kelly pays your bills  1215 kaden pays em  515 and  just wants you to follow him lol he dosent get to pay bills,1
438, i want to gooo,2
439,evryone come here http were spamming so much and blogtv is glitching and it might work,0
440,ready for tomorrow my mommy will get her gift for mothers day hope she loves it,2
441,ugh fun concert  screen cracked on phone again because it fell ,0
442, if you take backstreet boya and put them in silk mc hammer pants with sgt peppersbeatles coats and lame music then you have smap,1
443,so happy my vstudio shortcuts are backkk,2
444, cant wait to hear the evp and cuuuute picture,2
445,headed to verizon praying that pinkberry is going to make it,2
446,awaiting reply from two projects one cancelled,0
447,coco still out,1
448, have you watched you belong with me   by my lovely sister  kiddin,2
449, hello again  howd ur saturday go,1
450, why arent you showing up as a spymaster in my screen,1
451,well sacramento i hope you appreciate rivkah sass  treat her well ill be sitting here in omaha pouting,2
452,leaving the beach  having a great day with vicente  we needed this time together,2
453,got caught in the rain sand monsoon all the way home even though i looked like a complete idiot,0
454,just left  already misses nashville  be back sunday,0
455,going to bed after the cavs game  dont judge me lol,1
456, youre a busy bob im jealous im not sure i can even afford to go meet john de lancie and leonard nimoy,0
457,i am living in a country where the government is always a circus show  sad but true,0
458,went twitter crazy last nigh p well thats what happens when u got nothin ta do at 2 oclock in da mornin,1
459, i want chocolate,1
460,httptwitpiccom4ja8r  tell me how can you not love someone like this,1
461, yep  but im going better now,2
462,fun is being had,2
463, my nose stud fell out and i cant find it  looks like ill have to head into amsterdam today and get a new one,0
464,byspork we shall see,1
465,other excellent analogy,2
466,good morning tweeps busy this am but not in a working way,2
467, lmao im only joking mate,1
468, follow me baby u said n da chat u will  luv ya goodnite,2
469,been busy at work now must run before traffic is too bad,1
470,got a rad new tshirt from my aunt made from some cool shiny shiny pink material,2
471, it was an awesome talk  find it very true that i am watching the ruby community closely,2
472,f1 in a few hours guess who is sleepin in the living room,1
473, hahaha niene ur soo smart lmao i think that is who its by  good lookin whts up gurlie i come home this weekend,2
474,httptwitpiccom664oz  this is what happens when i have no models,1
475,i hereby announce that i am employed couldnt be happier alhamdulillah,2
476,i juz registered my cp in twitter but my tweets wont go thru arghhmm wanna follow my idols lyk  away from the pc,0
477,speakingspeaking ,1
478,paid all my bills only to go out to the mailbox to find more of them,1
479, i could but that would require today not to be a duvet day i imagine that my outfit for the wendyhouse will be photo worthy,1
480, glad to hear you made it out i hear that place used to be its own country  looking forward to your arrival,2
481,found a swing set for sale 2 blocks from home super cheap i want it 4 my kids but no one is answering the phone  listed,1
482,so many farewell parties sad to see people leaving ,0
483,  still a pity it comes with no lamb though,0
484, ive got cups but you gotta come get them,1
485,take that take that in your faces  robbie won,2
486, no other reason i wonder if she loves you,2
487, happy birthday ness,2
488, wow i really hope it gets better asthma sucks,1
489,feels my cousin is a monkey  httpplurkcompx23pa,0
490,charlie and the chocolate factory in the mood for some johnny depp then bed preparing for a 14 12 hour wok day tomorrow,1
491, wasnt the layers just absolute positioned divs web compability killer,1
492,dont you hate it when youre left with one slice of bread left in the bag half sandwich,0
493,loves random acts of kindness and laughter,2
494,gha off to work  hopefully traffic has cleared up by the time i get there,2
495,just watched another episode of jonas is it better than hannah montana very much true,2
496,going to meet the new family im babysitting for wish i was still sleeeeping,2
497, hi heather i dont know why but i just saw your messages from april have not been very twitter friendly,0
498, i cant belive you only have one episode to go  ,1
499, you can also watch family guy online   and yes i am a total shill,1
500, i know right  poorpoor girl it shows why they shouldnt put young people in competitions like this though  ,0
501,not excited for 32 people reservation in the morning   lovin halo3 right now for sure too,1
502, wowie wooie someone updated their twitter without me having to remind you im not even madim impressed  how was the lasagna ,2
503,today is another good day for some less extreme experiences anyone a fan of 24 im watching season 4 now,2
504, i was going tonight but you never wrote me back with the info  im sososo sad,0
505, still not 100    im sick of being sick,0
506,collins im not sure i understand how this twitter thing works,1
507,wat a stressful week i jus hope everything falls into place 4me,0
508,with hubby at the dentist ready to hold his hand  and getting nervy about potentially buying a car tomorrow,0
509,aww i got to see my 1st grade teachers last day before she retired,2
510, for sure you should continue to tweet while on conf call while worrying about cat and bee,0
511,lol made a huge mess of my school shirt was using charcoal sticks in 2d art,0
512, when will she b finished,1
513,bgt made me cry tonight,0
514,gawww why is facebook being so slow,0
515, im cool  cant wait to hear these stories xoxo,2
516,bird poo update managed to clean it all off but some slight stainage remains  any tips,1
517,also i was conviced to do a happy dance and then told it was the most adorable happy dance ever,2
518,i day til nyc and the journey soon begins music baby,1
519,i feel in love with pizza girl now i eat pizza everyday,2
520, 11 30s way early anyway nigth night  love you,2
521, if i say please reply to me dougie will you do it i double dare you,0
522, im not either we should have went out snicker although i am enjoying listening to rr and my beer,1
523, hey esmee how u doing,1
524, muahahahhahaha   well maybe they think im crazy or something i havent scared  yet though,2
525, nopenot drunksometimes i think maybe i shouldthen maybe twitter would make sense ya know,1
526,today got her pop tshirt  lovess ittt  haha x,2
527, epicentre wheelock place  tourists only,1
528,perfect night best month of my life so far you my boo ,2
529, yayy  youll can help me im doing my english homeworks which i had to do during the holidays ,2
530, hi ya demi im glad ur back   httptwitpiccom4vuuy i personally love the picture haha,2
531, think you should do a tour in england we dont got to see any aweomse people ,0
